SN_Identifier	Replicate 1	Replicate 2	Replicate 3	Mean(Replicate 1, Replicate 2, Replicate 3)	Enhancer Activity Score
SN1	2.5124655336072266	2.4689732861652	2.5573829800820653	2.5129405999514973	0.8716890243924453
SN100	-1.0155893971906158	-0.8568455000609231	-0.9413943522842951	-0.9379430831786113	0.09074285329737766
SN101	-0.730670246450903	-0.39215407181393674	-0.8507081915491436	-0.6578441699379943	0.1541301459182464
SN103	-0.8032488273990477	-0.8727580994964629	-0.8999693732588436	-0.8586587667181181	0.10868515128626569
SN105	0.5465324415598001	0.5407414036008167	0.5805914629417812	0.5559551027007993	0.42881685850701867
SN106	-0.9626605430117579	-1.1872714107757691	-1.2612667147179621	-1.137066222835163	0.04568064089902679
SN107	-1.1094324823870172	-1.1737112061384194	-1.1218674146347718	-1.1350037010534029	0.046147396268423846
SN108	1.400926990270439	1.3569470297766772	1.2984938879857069	1.352122636010941	0.6089921538171149
SN109	0.44285824172994603	0.36879124832531385	0.22902372574249494	0.3468910719325849	0.3815049902049126
SN110	-0.02426884058237327	-0.28519101055477597	-0.17908185441649532	-0.1628472351845482	0.2661495578703948
SN111	-0.7952827365075794	-1.0637472889700585	-0.845789086590749	-0.9016063706894624	0.09896596919876438
SN112	-0.8941170205043686	-0.8595824387342051	-1.0718311575590023	-0.9418435389325254	0.08986016750839099
SN113	1.3851821683724896	1.4779892614169048	1.2663367562322578	1.3765027286738842	0.6145094478682429
SN116	0.011446673283141941	0.20703867305661874	-0.23031355073865384	-0.0039427347996310496	0.30211016174470884
SN117	-0.4185994183115515	-0.8172787901231147	-0.46814044249084963	-0.568006216975172	0.1744607660803545
SN118	-0.10040594918378584	-0.467185228585553	-0.6291717575073832	-0.398920978425574	0.21272530402451162
SN12	-0.6456205154583763	-0.7588837463253307	-0.5066898056720703	-0.6370646891519257	0.15883260982236283
SN121	-0.7319747519923058	-0.9620454540261086	-1.1840006174814988	-0.959340274499971	0.0859005994954623
SN123	2.591282781489533	2.8772673526566988	2.6323893599068557	2.700313164684363	0.9140920435703239
SN124	-0.6067759185632343	-0.7177493788953493	-0.9232435037325099	-0.7492562670636977	0.13344329182603995
SN125	1.4438559045692965	1.3604954963304488	1.501525752100154	1.4352923843332996	0.6278137376394861
SN127	1.8901980256734208	1.9909812312292439	1.839839885541773	1.9070063808148126	0.7345641451380227
SN128	-0.9425247694240839	-0.7100071103172143	-0.9853102419314449	-0.8792807072242477	0.10401833925851153
SN129	-1.2761719766393909	-1.3813193448415972	-1.1420157360054224	-1.2665023524954702	0.01638882490600113
SN14	-0.42808203294241415	-0.13464232283154193	-0.11434180135106983	-0.2256887190416753	0.25192832623512795
