SN_Identifier	Replicate 1	Replicate 2	Replicate 3
SN1	2.5124655336072266	2.4689732861652	2.5573829800820653
SN100	-1.0155893971906158	-0.8568455000609231	-0.9413943522842951
SN101	-0.730670246450903	-0.39215407181393674	-0.8507081915491436
SN103	-0.8032488273990477	-0.8727580994964629	-0.8999693732588436
SN105	0.5465324415598001	0.5407414036008167	0.5805914629417812
SN106	-0.9626605430117579	-1.1872714107757691	-1.2612667147179621
SN107	-1.1094324823870172	-1.1737112061384194	-1.1218674146347718
SN108	1.400926990270439	1.3569470297766772	1.2984938879857069
SN109	0.44285824172994603	0.36879124832531385	0.22902372574249494
SN11	-1.6192083394823416	-0.5006556786432561	-1.806038191258167
SN110	-0.02426884058237327	-0.28519101055477597	-0.17908185441649532
SN111	-0.7952827365075794	-1.0637472889700585	-0.845789086590749
SN112	-0.8941170205043686	-0.8595824387342051	-1.0718311575590023
SN113	1.3851821683724896	1.4779892614169048	1.2663367562322578
SN114	-0.22673453473246613	-0.7153781379004569	0.10328839444125236
SN116	0.011446673283141941	0.20703867305661874	-0.23031355073865384
SN117	-0.4185994183115515	-0.8172787901231147	-0.46814044249084963
SN118	-0.10040594918378584	-0.467185228585553	-0.6291717575073832
SN12	-0.6456205154583763	-0.7588837463253307	-0.5066898056720703
SN121	-0.7319747519923058	-0.9620454540261086	-1.1840006174814988
SN122	-1.4708378555305255	-1.3633980775536387	-1.5889505214886803
SN123	2.591282781489533	2.8772673526566988	2.6323893599068557
SN124	-0.6067759185632343	-0.7177493788953493	-0.9232435037325099
SN125	1.4438559045692965	1.3604954963304488	1.501525752100154
SN127	1.8901980256734208	1.9909812312292439	1.839839885541773
SN128	-0.9425247694240839	-0.7100071103172143	-0.9853102419314449
SN129	-1.2761719766393909	-1.3813193448415972	-1.1420157360054224
SN14	-0.42808203294241415	-0.13464232283154193	-0.11434180135106983
SN15	0.9056670333348361	0.8908370068942635	0.8664932730160053
SN16	-1.403561916825789	-1.353325041711801	-1.2598793565535713
SN17	-0.7525804937214053	0.4981183165133091	1.053182555477849
SN18	1.7364192148981699	1.7769152441608953	1.8007792326840026
SN19	-0.7219912989057805	-0.873129411265266	-0.45312362688055624
SN2	-1.0925379005217684	-1.0962893607621946	-1.1043175985176596
SN20	-0.8645246654159426	-0.8215510702862541	-0.7805299160862851
SN21	-0.3690458358452657	-0.6537579815407579	-0.7297289504072637
SN23	-1.3371865977309547	-1.589520970887803	-1.4799134901421076
SN24	1.7718831931546433	1.6641364809097798	2.1090611425457815
SN27	-0.23528810602619893	-0.4402605515523101	-0.485903753653967
SN28	-0.6716438215233345	-1.06462295579328	-1.2185643765742118
SN29	0.05194446802926555	-0.00011354387189594895	0.1300400541055323
SN3	-3.968886387030557	-3.0136521790564244	-2.5720563394458282
SN32	1.2248545411778387	1.096143947428813	1.1210555819361978
SN34	-0.18372359384715495	-0.5039857961037664	-0.10432422735313757
SN37	-0.8673152139552713	-0.7084982875679326	-0.9002128392220065
SN38	-1.205575114191511	-1.0916784007294893	-1.0031347828852624
SN4	-0.7835820482660278	-0.9488872898470454	-0.6643785413019748
SN41	-1.0272146931454982	-1.0734329870190114	-0.9536164974638843
SN42	-0.9405393768727861	-1.15600261139978	-1.1652134469608935
SN43	-0.24705820467679496	-0.4490985158632855	-0.688333652620231
SN44	1.3478970940637747	1.3526138961770597	0.6132595035051255
SN47	-0.9683916508277941	-1.010155264914391	-1.1525807892846065
SN50	-0.37395009798735906	-0.31914235504522553	-0.4340511497513398
SN51	-0.2447077736448117	-0.0640733102099669	-0.17199547574698743
SN52	0.1693299134175637	-0.1138950491946417	-0.10738842998705579
SN53	0.11809287741671572	0.23810103843012578	0.20883568900801042
SN54	-0.3074091131714425	-0.4301242223182504	-0.44903390101982427
SN55	3.0222745531170214	3.1294413015714104	3.0880666585135366
SN56	-0.2713538900795012	-0.384197648729904	-0.4779085472727673
SN57	-0.9769839864239034	-0.7806119068675746	-0.9844454087360098
SN59	-1.8765858884435134	-0.912878319380305	-1.2143031949932044
SN6	-0.7865943644806964	-0.4148011980547758	-0.28693722901601487
SN60	-1.3703296650687706	-1.0746893430102489	0.5823179679722259
SN61	-0.9051838145196888	-0.9411611495984633	-0.8826103178774437
SN62	0.225000256839533	-0.06479814869739814	-0.5546804322644758
SN63	-0.45728838864583166	-0.981175337713782	-0.7969557423058604
SN64	-0.6898676530274108	-0.8445353390320983	-0.9636784312101528
SN66	-0.8967920291314787	-1.0045470984456422	-0.7627073250541221
SN67	-0.8286156354924361	-0.7642588945761488	-0.7012391124839432
SN68	-0.9313852662471422	-0.8069637054370461	-0.8388203495676124
SN69	-0.7674347002216622	-0.695736687232289	-0.4012798140627251
SN7	2.654612716302154	2.600881783661117	2.670737002189935
SN70	-1.0331365484539026	-0.5773605650645492	-0.2687303064008624
SN71	-1.2744701216891845	-1.670706860778377	-1.1523778033420844
SN73	-0.9589963166207341	-0.9470829383543025	-1.0631635421496946
SN74	0.5527182700801889	0.5595797052269398	0.5929483203804282
SN75	0.9485539324554947	0.8260038508797918	0.6092067718100933
SN77	0.08324686127855245	0.21589935512108444	0.2480099461801946
SN78	-1.8069093470994484	-1.1850905733607082	-0.7456824718688937
SN79	-0.7235617866945483	-0.9454109662109672	-1.1074963997941267
SN8	-0.1701114075071811	-0.0335993659383315	0.25549444539947574
SN80	-1.0297503436468878	-0.35145594038222794	-0.5165441441767965
SN81	-4.2257610428626	-4.477422579112832	-4.4532404356782305
SN82	-0.9845437309118586	-1.1135029521978768	-1.0858335532313812
